iter	Passed	Remaining
0	1	129
1	2	119
2	3	106
3	4	98
4	5	98
5	6	97
6	7	96
7	8	97
8	9	97
9	11	99
10	11	96
11	13	95
12	14	95
13	15	94
14	16	92
15	17	91
16	18	88
17	19	87
18	20	85
19	20	83
20	21	81
21	22	81
22	24	80
23	25	79
24	26	78
25	27	77
26	28	76
27	29	75
28	30	73
29	31	72
30	32	71
31	33	70
32	33	68
33	34	67
34	35	66
35	36	65
36	37	64
37	38	63
38	40	62
39	41	61
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	89	6
93	90	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	95	0
