iter	Passed	Remaining
0	142	142174
1	145	72463
2	147	49114
3	149	37286
4	152	30251
5	153	25512
6	156	22163
7	158	19715
8	162	17895
9	164	16303
10	168	15114
11	169	13975
12	171	13017
13	173	12223
14	175	11534
15	177	10932
16	180	10413
17	182	9942
18	184	9516
19	186	9147
20	189	8851
21	191	8524
22	193	8239
23	196	7981
24	198	7740
25	200	7497
26	201	7260
27	204	7085
28	205	6887
29	207	6712
30	209	6534
31	210	6361
32	211	6200
33	212	6047
34	214	5901
35	215	5766
36	216	5639
37	218	5525
38	219	5405
39	220	5293
40	221	5186
41	222	5083
42	224	4986
43	225	4892
44	226	4803
45	227	4715
46	228	4629
47	229	4548
48	230	4471
49	231	4400
50	232	4332
51	234	4267
52	235	4199
53	236	4138
54	237	4074
55	238	4015
56	239	3956
57	239	3897
58	240	3840
59	241	3786
60	242	3733
61	243	3680
62	244	3630
63	244	3582
64	246	3539
65	247	3496
66	248	3454
67	249	3412
68	249	3371
69	250	3332
70	251	3295
71	252	3258
72	253	3221
73	254	3184
74	255	3149
75	256	3115
76	257	3081
77	257	3048
78	258	3015
79	259	2984
80	260	2957
81	261	2931
82	262	2899
83	263	2871
84	264	2844
85	265	2817
86	265	2790
87	266	2765
88	267	2741
89	268	2717
90	269	2693
91	270	2671
92	271	2648
93	272	2625
94	273	2602
95	274	2581
96	275	2563
97	276	2546
98	277	2528
99	279	2511
100	280	2493
101	281	2475
102	282	2456
103	282	2437
104	283	2418
105	284	2400
106	285	2382
107	286	2364
108	287	2347
109	288	2330
110	289	2315
111	290	2299
112	291	2286
113	292	2272
114	293	2258
115	294	2243
116	295	2226
117	295	2211
118	296	2196
119	297	2182
120	298	2169
121	299	2153
122	300	2139
123	300	2125
124	301	2112
125	302	2099
126	303	2085
127	304	2074
128	305	2063
129	306	2052
130	307	2042
131	309	2031
132	310	2021
133	311	2011
134	312	2001
135	313	1990
136	314	1980
137	315	1970
138	316	1959
139	317	1948
140	318	1937
141	318	1926
142	319	1916
143	320	1906
144	322	1899
145	323	1889
146	324	1880
147	324	1870
148	325	1860
149	326	1851
150	327	1841
151	328	1832
152	329	1824
153	330	1815
154	331	1806
155	332	1797
156	333	1788
157	334	1780
158	335	1772
159	336	1765
160	337	1756
161	338	1749
162	339	1742
163	340	1735
164	341	1727
165	342	1719
166	343	1711
167	344	1704
168	345	1696
169	345	1688
170	346	1681
171	347	1673
172	348	1666
173	349	1659
174	350	1652
175	351	1647
176	352	1640
177	353	1634
178	354	1627
179	355	1620
180	356	1613
181	357	1606
182	358	1599
183	359	1593
184	360	1586
185	361	1580
186	362	1574
187	363	1568
188	364	1562
189	364	1555
190	365	1550
191	367	1544
192	368	1539
193	369	1534
194	370	1528
195	371	1523
196	372	1517
197	373	1511
198	374	1505
199	375	1500
200	375	1494
201	376	1488
202	377	1483
203	378	1477
204	379	1472
205	380	1467
206	381	1463
207	382	1457
208	383	1452
209	384	1447
210	385	1443
211	386	1438
212	387	1433
213	388	1428
214	389	1422
215	390	1417
216	391	1412
217	392	1407
218	393	1402
219	394	1397
220	395	1392
221	396	1388
222	397	1384
223	398	1379
224	399	1374
225	400	1370
226	401	1366
227	402	1362
228	403	1358
229	404	1353
230	405	1349
231	406	1344
232	406	1339
233	407	1334
234	408	1330
235	409	1325
236	410	1320
237	411	1317
238	412	1313
239	413	1309
240	414	1305
241	415	1301
242	416	1297
243	417	1293
244	418	1288
245	419	1284
246	419	1280
247	420	1275
248	421	1271
249	422	1267
250	423	1263
251	424	1259
252	425	1255
253	425	1251
254	427	1247
255	428	1244
256	429	1241
257	430	1237
258	431	1233
259	432	1230
260	433	1227
261	434	1224
262	435	1220
263	436	1217
264	437	1213
265	438	1210
266	439	1206
267	440	1202
268	441	1199
269	442	1197
270	444	1194
271	445	1191
272	446	1187
273	446	1184
274	447	1180
275	448	1177
276	449	1173
277	450	1169
278	451	1166
279	452	1162
280	453	1159
281	453	1155
282	454	1152
283	455	1148
284	456	1145
285	457	1142
286	458	1139
287	459	1137
288	461	1134
289	462	1131
290	462	1128
291	463	1124
292	464	1121
293	465	1118
294	466	1115
295	467	1111
296	468	1108
297	469	1105
298	470	1102
299	471	1099
300	472	1096
301	473	1093
302	474	1091
303	475	1089
304	477	1087
305	477	1083
306	478	1080
307	479	1077
308	480	1074
309	481	1071
310	482	1068
311	483	1065
312	483	1062
313	484	1059
314	485	1055
315	486	1053
316	487	1050
317	488	1047
318	489	1045
319	490	1042
320	491	1040
321	492	1037
322	493	1034
323	494	1031
324	495	1028
325	496	1025
326	497	1022
327	497	1020
328	498	1017
329	499	1014
330	500	1011
331	501	1008
332	502	1005
333	503	1003
334	504	1001
335	505	998
336	506	996
337	507	993
338	508	991
339	509	988
340	510	985
341	510	983
342	511	980
343	512	977
344	513	975
345	514	972
346	515	969
347	516	966
348	516	964
349	518	962
350	519	960
351	520	958
352	521	955
353	522	953
354	523	951
355	524	948
356	525	946
357	526	943
358	527	941
359	527	938
360	528	935
361	529	933
362	530	930
363	531	928
364	532	925
365	533	923
366	534	921
367	535	919
368	536	917
369	537	914
370	538	912
371	539	910
372	540	907
373	541	905
374	541	903
375	542	900
376	543	898
377	544	896
378	545	894
379	546	891
380	547	889
381	548	887
382	549	885
383	550	883
384	551	881
385	552	879
386	553	877
387	554	875
388	555	872
389	556	870
390	557	868
391	558	865
392	558	863
393	559	861
394	560	859
395	561	856
396	562	854
397	563	852
398	564	850
399	565	848
400	567	847
401	568	845
402	569	843
403	569	840
404	570	838
405	571	836
406	572	834
407	573	832
408	574	830
409	575	828
410	576	825
411	577	823
412	578	821
413	579	819
414	580	818
415	581	816
416	582	814
417	583	812
418	584	810
419	585	807
420	585	805
421	586	803
422	587	801
423	588	799
424	589	797
425	590	795
426	591	793
427	592	791
428	592	789
429	593	787
430	594	785
431	595	783
432	596	781
433	597	779
434	598	777
435	599	775
436	600	773
437	601	771
438	602	769
439	603	767
440	603	765
441	604	763
442	605	761
443	606	759
444	607	757
445	608	755
446	609	753
447	610	751
448	611	750
449	612	748
450	613	746
451	613	744
452	614	742
453	615	740
454	616	738
455	617	736
456	618	734
457	619	732
458	620	730
459	620	728
460	621	727
461	622	725
462	623	723
463	624	721
464	626	720
465	626	718
466	628	716
467	629	715
468	629	713
469	630	711
470	631	709
471	632	707
472	633	705
473	634	703
474	635	702
475	636	700
476	636	698
477	637	696
478	638	694
479	639	692
480	640	691
481	641	689
482	642	688
483	644	687
484	645	685
485	646	683
486	647	681
487	648	679
488	649	678
489	649	676
490	650	674
491	651	672
492	652	671
493	653	669
494	654	667
495	655	666
496	656	664
497	658	663
498	659	661
499	660	660
500	661	658
501	662	656
502	663	655
503	663	653
504	664	651
505	665	649
506	666	648
507	667	646
508	668	644
509	668	642
510	669	641
511	670	639
512	672	638
513	673	636
514	674	635
515	675	633
516	676	632
517	677	630
518	678	628
519	679	626
520	680	625
521	681	623
522	681	621
523	682	620
524	683	618
525	684	616
526	685	615
527	686	613
528	687	612
529	688	610
530	689	609
531	690	607
532	691	605
533	692	604
534	693	602
535	693	600
536	694	598
537	695	597
538	696	595
539	697	593
540	697	592
541	698	590
542	699	588
543	701	587
544	702	586
545	703	584
546	704	583
